Ship to ID,Sold to ID,R12 Segment (Ship to ID),R12 Segment (Sold to ID),R13-24 Segment (Sold to ID),R25 - 36 Segment (Sold to ID),Sales Rep Name,Fleet Size,R12 Wallet Size (Aftermarket),Ship to Name,Sold to Name,Address,City,Zip Code,County State,HYG Preferred Brand,New Equip R36 Revenue,Used Equip R36 Revenue,Parts Revenue R12,Service Revenue R12 (Includes GM),Parts & Service Revenue R12,Rental Revenue R12,Allied Equipment Revenue R12,Revenue Rolling 12 Months - Aftermarket,Revenue Rolling 13 - 24 Months - Aftermarket,Revenue Rolling 25 - 36 Months - Aftermarket,Revevnue Rolling 25 -36 Months - AftermarketR12 Aftermarket Revenue Change,Dealer Branch,Industry Segment,Industry Description
AD0008063,BP0004305,P,P,C3,P,2-Territory,,,K PAUL,PREMIER MECHANICAL INSTALLATIONS,6230 CORPORATE DR,INDIANAPOLIS,46278,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,231 ",$0 ,"($1,231)",,,
AD0000001,BP0004309,A3,P,D2,D2,1-Territory,,,"TYNAN EQUIPMENT COMPANY, INC.",BUY RITE INC,5926 STOCKBERGER PL,INDIANAPOLIS,46241,Marion IN,,$0 ,$0 ,"$2,542 ","$1,477,246 ","$1,479,788 ",$0 ,$0 ,"$1,479,788 ","$974,889 ","$633,308 ","$504,898 ",,,
AD0007035,BP0004309,P,P,D2,D2,1-Territory,,,BUY RITE INC,BUY RITE INC,5346 PIKE PLAZA ROAD,INDIANAPOLIS,46254,Marion IN,,"$4,976 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$7,834 ",$0 ,"($7,834)",,,
AD0007413,BP0004309,P,P,D2,D2,1-Territory,,,CROWN LIQUORS,BUY RITE INC,1920 N SHADELAND AVE,INDIANAPOLIS,46219,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,211 ",$0 ,"($1,211)",,,
AD0007066,BP0004326,P,P,P,D3,1-Territory,,,COSTCO WHOLESALE #347,COSTCO WHOLESALE #347,9010 MICHIGAN ROAD,INDIANAPOLIS,46268,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,295 ",$0 ,,,
AD0007071,BP0004328,P,P,P,D3,1-Territory,,,KND NAIL SUPPLY,KND NAIL SUPPLY,3250 NORTH POST ROAD,INDIANAPOLIS,46226,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,036 ",$0 ,,,
AD0007369,BP0004332,P,P,D3,D3,7-Territory,,,ARCA RECYCLING INC,ARCA RECYCLING INC,221 S FRANKLIN RD SUITE 780,INDIANAPOLIS,46219,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$592 ,$0 ,($592),,,
AD0007092,BP0004339,P,P,P,D3,1-Territory,,,RENN SPORT PERFORMANCE LLC,RENN SPORT PERFORMANCE LLC,8521 ZIONSVILLE RD,INDIANAPOLIS,46268,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,316 ",$0 ,,,
AD0007100,BP0004344,P,P,P,D3,1-Territory,,,EL PRIMO AUTO SALE,EL PRIMO AUTO SALE,3912 W WASHINGTON STREET,INDIANAPOLIS,46241,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$834 ,$0 ,,,
AD0007103,BP0004345,P,P,P,D3,7-Territory,,,KENNETH BOVA,KENNETH BOVA,4565 GUION ROAD,INDIANAPOLIS,46254,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$348 ,$0 ,,,
AD0007108,BP0004348,P,P,P,D3,1-Territory,,,TECHBUILT CONTROL SYSTEMS,TECHBUILT CONTROL SYSTEMS,1131 COUNTRY CLUB ROAD,INDIANAPOLIS,46234,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$337 ,$0 ,,,
AD0007117,BP0004354,P,P,D3,P,7-Territory,,,ALLOY WHEEL REPAIR SPECIALISTS,ALLOY WHEEL REPAIR SPECIALISTS,8112 CASTLEWAY COURT W,INDIANAPOLIS,46250,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$797 ,$0 ,($797),,,
AD0007131,BP0004363,P,P,D3,P,1-Territory,,,101 MOBILITY,101 MOBILITY,8501 BASH STREET,INDIANAPOLIS,46250,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,652 ",$0 ,"($2,652)",,,
AD0007149,BP0004369,P,P,P,D3,7-Territory,,,5 BELOW BLDG,ARCO DESIGN/BUILD INDUSTRIAL BTS,12050 E MCGREGOR RD,INDIANAPOLIS,46241,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$596 ,$0 ,,,
AD0007167,BP0004382,P,P,D3,P,1-Territory,,,"BUCKEYE CORRUGATED, INC","BUCKEYE CORRUGATED, INC",4001 SOUTH HIGH SCHOOL ROAD,INDIANAPOLIS,46241,Marion IN,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$1,150 ",$0 ,"($1,150)",,,
AD0007170,BP0004386,P,P,D3,P,1-Territory,,,BUNGE,BUNGE,1102 WEST 18TH STREET,INDIANAPOLIS,46202,Marion IN,,$461 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,,,
AD0007228,BP0004391,P,P,D3,P,6-Territory,,,A & N LOGISTICS,A & N LOGISTICS INC,5801 W 82ND STREET,INDIANAPOLIS,46278,Marion IN,,"$74,533 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$868 ,$0 ,($868),,,
AD0004014,BP0004396,C3,P,P,D3,7-Territory,,,LUCAS OIL STADIUM,YOUR BEST PATHWAY TO HEALTH,500 S CAPITOL AVE,INDIANAPOLIS,46225,Marion IN,,$0 ,$0 ,"$1,692 ",$0 ,"$1,692 ","$8,860 ",$0 ,"$10,552 ",$0 ,"$5,023 ","$10,552 ",,,
