Account Name,City,Address,County State,Zip Code,R12 Segment,R36 New Unit Revenue,R12 Service Revenue,R12 Rental Revenue,R12 Aftermarket Revenue,Min of Latitude,Min of Longitude
HERITAGE CRYSTAL CLEAN,ALBUQUERQUE,3738-A HAWKINS NE,Bernalillo NM,87109,A1,$0,$0,$6608,$677968,35.16259200,-106.60205400
HERITAGE CRYSTAL CLEAN,ATLANTA,6140 PURDUE DRIVE SUITE A,Fulton GA,30336,A1,$0,$0,$0,$677968,33.71882290,-84.59369855
HERITAGE CRYSTAL CLEAN,BAKERSFIELD,1620 E BRUNDAGE LANE,Kern CA,93307,A1,$0,$0,$0,$677968,35.35407741,-118.98089933
HERITAGE CRYSTAL CLEAN,BALTIMORE,6305 E LOMBARD ST,Baltimore MD,21224,A1,$0,$0,$3703,$677968,39.29567005,-76.54116206
HERITAGE CRYSTAL CLEAN,BATTLE CREEK,4039 W COLUMBIA AVE,Calhoun MI,49015,A1,$0,$0,$0,$677968,42.29254799,-85.27057390
HERITAGE CRYSTAL CLEAN,BIRMINGHAM,540 REPUBLIC CIRCLE,Jefferson AL,35214,A1,$0,$0,$5819,$677968,33.52585174,-86.87278345
HERITAGE CRYSTAL CLEAN,BROOKS,3235 CORAL RIDGE RD,Bullitt KY,40109,A1,$0,$0,$5016,$677968,38.05862857,-85.71059289
HERITAGE CRYSTAL CLEAN,BUFFALO,60 CLYDE AVE,Erie NY,14215,A1,$0,$0,$6608,$677968,42.93528153,-78.82383856
HERITAGE CRYSTAL CLEAN,CAYCE,627 POPLAR ST,Lexington SC,29033,A1,$0,$0,$8207,$677968,33.97656540,-81.05594340
HERITAGE CRYSTAL CLEAN,CHALESTON,927 BARLOW DR,Kanawha WV,25311,A1,$0,$0,$6608,$677968,38.36406300,-81.61000800
HERITAGE CRYSTAL CLEAN,CINCINNATI,590 NORTHLAND BLVD,Hamilton OH,45240,A1,$0,$0,$0,$677968,39.28302100,-84.49420700
HERITAGE CRYSTAL CLEAN,CONCORD,2115 SPEEDRAIL COURT,Cabarrus NC,28025,A1,$0,$0,$6608,$677968,35.33716126,-80.61259133
HERITAGE CRYSTAL CLEAN,COURTICE,80 CIGAS ROAD,,L1E2S,A1,$0,$0,$0,$677968,43.88093300,-78.77164207
HERITAGE CRYSTAL CLEAN,DENVER,5221 MONROE ST,Denver CO,80216,A1,$0,$0,$13200,$677968,39.79143920,-104.94524740
