Ship to ID,Sold to ID,R12 Segment (Ship to ID),R12 Segment (Sold to ID),R13-24 Segment (Sold to ID),R25 - 36 Segment (Sold to ID),Sales Rep Name,Fleet Size,R12 Wallet Size (Aftermarket),Ship to Name,Sold to Name,Address,City,Zip Code,County State,HYG Preferred Brand,New Equip R36 Revenue,Used Equip R36 Revenue,Parts Revenue R12,Service Revenue R12 (Includes GM),Parts & Service Revenue R12,Rental Revenue R12,Allied Equipment Revenue R12,Revenue Rolling 12 Months - Aftermarket,Revenue Rolling 13 - 24 Months - Aftermarket,Revenue Rolling 25 - 36 Months - Aftermarket,Revevnue Rolling 25 -36 Months - AftermarketR12 Aftermarket Revenue Change,Dealer Branch,Industry Segment,Industry Description
AD0004947,BP0000864,P,D3,P,D3,1-Territory,,,ZESCO PRODUCTS,ZESCO PRODUCTS,1410 N SENATE,INDIANAPOLIS,46202,Marion IN,,$0,$0,$0,$0,$0,$0,$0,$0,$0,$965,$0,,,
AD0004952,BP0000867,D3,D3,P,D3,1-Territory,,,OMNI SOURCE,OMNI SOURCE,2205 S HOLT RD,INDIANAPOLIS,46241,Marion IN,,$0,$0,$0,$285,$285,$0,$0,$285,$0,$69,$285,,,
AD0000980,BP0000885,D3,D3,D3,D3,1-Territory,,,H G METALS,H G METALS,5402 MASSACHUSETTS  AVE,INDIANAPOLIS,46218,Marion IN,,$0,$0,$0,$1474,$1474,$0,$0,$1474,$374,$748,$1100,,,
AD0000990,BP0000895,D3,D3,P,P,1-Territory,,,MAJESTIC STONE IMPORTS,MAJESTIC STONE IMPORTS,1100 E MARYLAND ST,INDIANAPOLIS,46202,Marion IN,,$0,$0,$0,$674,$674,$1231,$0,$1905,$0,$0,$1905,,,
AD0000001,BP0000903,A3,D3,D3,D3,1-Territory,,,"TYNAN EQUIPMENT COMPANY, INC.",ANDERSON SPRING SERVICE,5926 STOCKBERGER PL,INDIANAPOLIS,46241,Marion IN,,$0,$0,$2542,$1477246,$1479788,$0,$0,$1479788,$974889,$633308,$504898,,,
AD0000998,BP0000903,D3,D3,D3,D3,1-Territory,,,ANDERSON SPRING SERVICE,ANDERSON SPRING SERVICE,1131 KENTUCKY AVE,INDIANAPOLIS,46221,Marion IN,,$0,$0,$0,$4993,$4993,$0,$0,$4993,$2735,$3784,$2258,,,
AD0004970,BP0000904,D3,D3,D3,D3,7-Territory,,,JUST PACKAGING,JUST PACKAGING,3835 E 21ST ST,INDIANAPOLIS,46218,Marion IN,,$0,$0,$0,$5357,$5357,$700,$0,$6057,$2588,$6252,$3470,,,
AD0001001,BP0000906,D3,D3,D3,P,1-Territory,,,CENTURY GASKET CORP,CENTURY GASKET CORP,1311 SADLIER CIRCLE E DR,INDIANAPOLIS,46239,Marion IN,,$0,$0,$0,$2266,$2266,$0,$0,$2266,$477,$0,$1789,,,
AD0001016,BP0000921,D3,D3,P,D3,1-Territory,,,TERMINIX,TERMINIX,5664 WEST 73RD ST,INDIANAPOLIS,46268,Marion IN,,$0,$0,$0,$1263,$1263,$0,$0,$1263,$0,$1443,$1263,,,
AD0001030,BP0000935,D3,D3,P,P,1-Territory,,,EAGLE MAGNETIC,EAGLE MAGNETIC,7417 CRAWFORDSVILLE RD,INDIANAPOLIS,46214,Marion IN,,$0,$0,$0,$258,$258,$3157,$0,$3414,$0,$0,$3414,,,
