Account Name,City,Address,County State,Zip Code,Min of Latitude,Min of Longitude
ACCURATE LASER SYSTEM INC,INDIANAPOLIS,2855 TOBEY DRIVE,Marion IN,46219,39.8092978,-86.0175125
ACCURATE MFG PRODUCTS GROUP,INDIANAPOLIS,8090 WOODLAND DR,Marion IN,46278,39.8994842,-86.2686997
ACE ATTACHMENTS LLC,CHESTER,622 INDUSTRIAL WAY,Chester SC,29706,34.75254017,-81.06145066
ACE BATTERY,INDIANAPOLIS,2250 N RITTER AVENUE,Marion IN,46218,39.799816,-86.07554163
ACE BATTERY,INDIANAPOLIS,3000 S SHELBY BLDG 1,Marion IN,46227,,
ACE BATTERY,INDIANAPOLIS,3006 N PENNSYLVANIA,Marion IN,46205,39.810373,-86.155839
ACE BATTERY,INDIANAPOLIS,68 N GALE STREET,Marion IN,46201,39.77036325,-86.1067456
ACE BATTERY,INDIANAPOLIS,740 S FULLER DR,Marion IN,46241,39.75539855,-86.24563863
ACE FIRE PROTECTION,LAFAYETTE,706 NAVCO DR,Tippecanoe IN,47905,40.41008054,-86.85350079
ACF INDUSTRIES,MILTON,417 N ASH STREET,Northumberland PA,17847,,
ACO,FISHERS,8100 E 106TH STREET,Hamilton IN,46038,39.94182913,-86.02570235
ACORN DISTRIBUTORS INC,INDIANAPOLIS,5820 FORTUNE CIRCLE,Marion IN,46241,39.727639,-86.261588
ACRO ENGINEERING INC,GREENSBURG,1120 W WASHINGTON ST,Decatur IN,47240,39.33763495,-85.49803787
ADELTA LOGIS INC,INDIANAPOLIS,3747 PLAINFIELD RD,Marion IN,46231,,
ADESA INC.,PLAINFIELD,2950 E MAIN ST,Hendricks IN,46168,39.72273469,-86.34513713
ADM MILLING CO,BEECH GROVE,854 BETHEL AVE,Marion IN,46107,39.73383165,-86.09321288
ADP,BOSTON,PO BOX 842875,Suffolk MA,2284,,
ADVANCED DRAINAGE,INDIANAPOLIS,420 S BELMONT ST,Marion IN,46201,39.7603345,-86.196735
ADVANCED DRAINAGE SYSTEMS,BRAZIL,2340 E US HWY 40,Clay IN,47834,,
ADVANCED OFFICE LOGISTICS,INDIANAPOLIS,2051 SHERBROOK AVE,Marion IN,46218,39.795494,-86.12561461
ADVANCED OFFICE LOGISTICS,INDIANAPOLIS,3250 N POST RD,Marion IN,46226,39.81576994,-86.0099097
ADVANCED POWERTRAIN LLC,SULLIVAN,112 N CROSS STREET,Sullivan IN,47882,39.09668056,-87.41204064
ADVANCED RACING ENGINES & DESIGN LL,INDIANAPOLIS,4910 KAROBAR DRIVE,Marion IN,46218,39.801038,-86.086408
ADVANCED SYSTEMS INC,INDIANAPOLIS,7257 US 31S,Marion IN,46227,,
ADVANTAGE MANUFACTURING,MARTINSVILLE,30 ROBB HILL RD,Morgan IN,46151,,
ADVANTAGE MATERIAL HANDLI,MUNDELEIN,900 TOWER ROAD,Lake IL,60060,42.2499059,-87.98850955
AE ARMORY LLC,GREENWOOD,545 CHRISTY DRIVE,Johnson IN,46143,39.6332683,-86.0953504
AEF CONCRETE LLC,NOBLESVILLE,990 S 13TH STREET,Hamilton IN,46060,40.0374898,-86.00879833
AEL SPAN,PLAINFIELD,3051 MIDFIELD CT,Hendricks IN,46168,,
AEL SPAN,PLAINFIELD,6032 GATEWAY DR,Hendricks IN,46168,39.669415,-86.373703
AERO INDUSTRIES,INDIANAPOLIS,4243 W BRADBURY AVE,Marion IN,46241,39.72906075,-86.23594276
AEROSAFE GLOBAL,INDIANAPOLIS,5325 SEERLEY RD,Marion IN,46241,39.71659312,-86.25075594
AES AUTOMOTIVE EQUIPMENT SPECIALIST,SEYMOUR,100 N EWING STREET,Jackson IN,47274,38.959137,-85.887371
AES INDIANA,INDIANAPOLIS,1101 RIVER AVE,Marion IN,46221,39.753715,-86.1806
AES INDIANA,INDIANAPOLIS,1230 W MORRIS ST,Marion IN,46221,39.75180405,-86.18049878
AETNA BUILDING SOLUTIONS,INDIANAPOLIS,6350 BROOKVILLE RD,Marion IN,46219,39.75836545,-86.05853544
AFFCO MACHINE SALES IN,WESTFIELD,510 ENTERPRISE DR,Hamilton IN,46074,40.04432989,-86.15039789
AG ALUMNI,ROMNEY,702 S R 28 E,Tippecanoe IN,47981,,
AG SOLUTIONS,INDIANAPOLIS,2525 N SHADELAND AVE,Marion IN,46219,39.80359765,-86.0427757
AG SOLUTIONS,INDIANAPOLIS,6525 E 82ND ST,Marion IN,46250,39.903716,-86.0541579
AGS EXPO SERVICES,INDIANAPOLIS,100 S CAPITOL AVE,Marion IN,46225,39.7619352,-86.16216374
AGS EXPO SERVICES,PLAINFIELD,2363 E PERRY RD,Hendricks IN,46168,39.676863,-86.360547
AIR ENERGY SYSTEMS INC.,INDIANAPOLIS,4790 W 73RD ST,Marion IN,46268,39.88515695,-86.24064263
AIR FAYRE,INDINANAPOLIS,1911 EXECUTIVE DR,Marion IN,46241,39.739568,-86.253128
AIRCELLE SERVICES AMERICA,INDIANAPOLIS,725 S GIRLS SCHOOL RD,Marion IN,46231,39.75499087,-86.28888363
AIRCELLE SERVICES AMERICA,PLAINFIELD,845 AIRTECH PARKWAY,Hendricks IN,46168,,
AIRFX USA LLC,BRAZIL,1484 E COUNTY ROAD 600N,Clay IN,47834,,
AIRGAS,INDIANAPOLIS,2450 PRODUCTION DRIVE,Marion IN,46241,39.7336648,-86.26074819
"AIRTOMIC, LLC",FRANKLIN,75 LINVILLE WAY,Johnson IN,46131,39.509255,-86.051769
AIRTRON,INDIANAPOLIS,1230 SOUTH POST RD,Marion IN,46239,39.75305521,-86.0089386
AIRWORX ACQUISITION LLC,INDIANAPOLIS,2075 S. BELMONT AVE,Marion IN,46221,39.7392242,-86.19484235
AISIN WORLD CORP OF AMERICA,FRANKLIN,187 BARTRAM PKWY,Johnson IN,46131,39.48045684,-86.00758066
AKKA PLASTICS,MITCHELL,1100 N TEKE BURTON DR,Lawrence IN,47446,38.740807,-86.49208
ALDERMAN AUTOMOTIVE,FISHERS,13875 TRADE CENTER DRIVE,Hamilton IN,46038,39.99262866,-86.00530827
ALEX FORSBACH,SAVANNAH,550 LACEFIELD DRIVE,Hardin TN,38372,35.20680384,-88.25586635
ALL AMERICAN FACILITY MAINTENANCE I,CARMEL,2520 EAST 146TH ST,Hamilton IN,46033,40.00048797,-86.11763264
ALL INDUSTRIAL ENGINE,WILLOUGHBY,DIV OF ALL LIFT SERV,Lake OH,44094,,
ALL PHASE ELECTRIC,LAFAYETTE,1660 KEPNER DRIVE,Tippecanoe IN,47905,40.39935065,-86.84036167
ALL STAR AUTO LIGHTS INC,INDIANAPOLIS,3250 NORTH POST ROAD,Marion IN,46226,39.81576994,-86.0099097
ALLEGION,INDIANAPOLIS,8506 E 30TH STREET,Marion IN,46219,39.81134541,-86.01798928
ALLIANCE WORLDWIDE DIST,INDIANAPOLIS,9702 E 59TH ST,Marion IN,46216,39.86304355,-85.99782887
ALLIED AUTOMATION,INDIANAPOLIS,5220 E 64TH ST,Marion IN,46220,39.87252858,-86.08221688
ALLIED EQUIPMENT,INDIANAPOLIS,4420 SAM JONES EXPRESSWAY,Marion IN,46241,39.7329043,-86.23597789
ALLIED EQUIPMENT,INDIANAPOLIS,DEPT 73300,Marion IN,46206,,
ALLIED WHOLESALE ELECTRIC,INDIANAPOLIS,120 N LYNHURST DR,Marion IN,46224,39.76750835,-86.25046652
ALLISON TRANSMISSION,INDIANAPOLIS,5902 DECATUR BLVD,Marion IN,46241,39.6792945,-86.3032471
ALLOMATIC/RAYBESTOS POWE,CRAWFORDSVILLE,1204 DARLINGTON AVE,Montgomery IN,47933,40.046936,-86.883029
ALLOMATIC/RAYBESTOS POWE,SULLIVAN,609 E CHANEY ST,Sullivan IN,47882,39.091781,-87.39917349
ALLOMATIC/RAYBESTOS POWE,SULLIVAN,PO BOX 267,Sullivan IN,47882,,
ALLOMATIC/RAYBESTOS POWERTRAIN,CRAWFORDSVILLE,964 E MARKET ST,Montgomery IN,47933,40.04284967,-86.88911038
ALLOMATIC/RAYBESTOS POWERTRAIN,SULLIVAN,110 INDUSTRIAL DR,Sullivan IN,47882,39.126266,-87.408276
ALLOY CUSTOM PRODUCT LLC,LAFAYETTE,9701 OLD ST RD 25N,Tippecanoe IN,47905,40.554346,-86.698428
ALLOY WHEEL REPAIR SPECIALISTS,INDIANAPOLIS,8112 CASTLEWAY COURT W,Marion IN,46250,39.90367437,-86.05720397
ALL-PHASE ELECTRIC SUPPLY,COLUMBUS,231 VOLLMER ST,Bartholomew IN,47201,39.201164,-85.911867
ALLWOOD OUTLET/ALLWOOD INDUSTRIALS,INDIANAPOLIS,4304 W MORRIS STREET,Marion IN,46241,39.74974712,-86.23328589
ALOM,INDIANAPOLIS,3910 WALDEMERE AVE,Marion IN,46241,39.70699613,-86.26134109
ALRO STEEL,MUNCIE,2301 S WALNUT ST,Delaware IN,47302,40.174257,-85.386404
ALTA EQUIPMENT - USE BP1539,LIVONIA,13211 MERRIMAN RD,Wayne MI,48150,42.37855826,-83.35315986
